  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA63012A                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5281   0.00793   0.00269  -0.0024   0.7945   0.0096
  -4.900  -0.5175   0.00786   0.00261  -0.0024   0.7918   0.0109
  -4.800  -0.5067   0.00779   0.00253  -0.0024   0.7885   0.0109
  -4.700  -0.4959   0.00773   0.00245  -0.0024   0.7847   0.0109
  -4.600  -0.4851   0.00768   0.00237  -0.0023   0.7806   0.0109
  -4.500  -0.4743   0.00764   0.00230  -0.0023   0.7762   0.0109
  -4.400  -0.4636   0.00759   0.00224  -0.0023   0.7713   0.0109
  -4.300  -0.4528   0.00755   0.00217  -0.0022   0.7657   0.0108
  -4.200  -0.4419   0.00751   0.00211  -0.0022   0.7594   0.0108
  -4.100  -0.4310   0.00747   0.00206  -0.0022   0.7534   0.0108
  -4.000  -0.4200   0.00743   0.00200  -0.0023   0.7498   0.0108
  -3.900  -0.4089   0.00738   0.00195  -0.0023   0.7489   0.0108
  -3.800  -0.3978   0.00733   0.00190  -0.0023   0.7477   0.0109
  -3.700  -0.3867   0.00728   0.00186  -0.0024   0.7461   0.0109
  -3.600  -0.3756   0.00724   0.00181  -0.0024   0.7439   0.0109
  -3.500  -0.3645   0.00720   0.00176  -0.0024   0.7410   0.0109
  -3.400  -0.3535   0.00717   0.00172  -0.0025   0.7377   0.0109
  -3.300  -0.3425   0.00714   0.00168  -0.0025   0.7340   0.0110
  -3.200  -0.3316   0.00711   0.00164  -0.0025   0.7302   0.0110
  -3.100  -0.3206   0.00708   0.00160  -0.0025   0.7260   0.0110
  -3.000  -0.3097   0.00706   0.00156  -0.0025   0.7215   0.0111
  -2.900  -0.2988   0.00704   0.00152  -0.0025   0.7163   0.0112
  -2.800  -0.2878   0.00701   0.00148  -0.0025   0.7103   0.0113
  -2.700  -0.2768   0.00698   0.00144  -0.0025   0.7043   0.0115
  -2.600  -0.2658   0.00695   0.00141  -0.0026   0.6999   0.0116
  -2.500  -0.2546   0.00690   0.00137  -0.0026   0.6992   0.0119
  -2.400  -0.2435   0.00686   0.00134  -0.0027   0.6981   0.0123
  -2.200  -0.2247   0.00634   0.00114  -0.0022   0.6947   0.0881
  -2.100  -0.2132   0.00636   0.00114  -0.0023   0.6922   0.0844
  -2.000  -0.2032   0.00621   0.00106  -0.0022   0.6891   0.1054
  -1.900  -0.1928   0.00611   0.00103  -0.0021   0.6856   0.1291
  -1.800  -0.1826   0.00599   0.00097  -0.0020   0.6819   0.1463
  -1.700  -0.1717   0.00597   0.00095  -0.0020   0.6767   0.1505
  -1.600  -0.1613   0.00594   0.00092  -0.0020   0.6680   0.1699
  -1.500  -0.1513   0.00584   0.00088  -0.0018   0.6561   0.1881
  -1.400  -0.1406   0.00579   0.00085  -0.0018   0.6491   0.1976
  -1.300  -0.1297   0.00573   0.00083  -0.0018   0.6458   0.2151
  -1.100  -0.1108   0.00543   0.00072  -0.0014   0.6290   0.2841
  -1.000  -0.1012   0.00536   0.00069  -0.0012   0.6163   0.3143
  -0.900  -0.0919   0.00521   0.00064  -0.0010   0.6043   0.3462
  -0.800  -0.0820   0.00506   0.00061  -0.0008   0.5997   0.3822
