fxs02196_b,        free transition row= 2102
-3.9000 -0.1596 0.0809 20000 -0.0330 
-3.8000 -0.1596 0.0806 20000 -0.0326 
-3.7000 -0.1596 0.0804 20000 -0.0321 
-3.6000 -0.1596 0.0801 20000 -0.0317 
-4.0000 -0.1595 0.0811 20000 -0.0334 
-3.5000 -0.1594 0.0799 20000 -0.0312 
-4.1000 -0.1593 0.0814 20000 -0.0338 
-3.4000 -0.1593 0.0797 20000 -0.0308 
-3.3000 -0.1591 0.0795 20000 -0.0303 
-4.2000 -0.1590 0.0817 20000 -0.0342 
-3.2000 -0.1588 0.0792 20000 -0.0299 
-4.3000 -0.1587 0.0820 20000 -0.0346 
-3.1000 -0.1586 0.0790 20000 -0.0294 
-4.4000 -0.1583 0.0823 20000 -0.0350 
-3.0000 -0.1582 0.0788 20000 -0.0289 
-2.9000 -0.1579 0.0786 20000 -0.0284 
-4.5000 -0.1578 0.0826 20000 -0.0354 
-2.8000 -0.1575 0.0784 20000 -0.0279 
-4.6000 -0.1572 0.0829 20000 -0.0358 
-2.7000 -0.1570 0.0783 20000 -0.0275 
-2.6000 -0.1566 0.0781 20000 -0.0270 
-4.7000 -0.1565 0.0833 20000 -0.0361 
-2.5000 -0.1560 0.0779 20000 -0.0265 
-4.8000 -0.1557 0.0837 20000 -0.0365 
-2.4000 -0.1556 0.0777 20000 -0.0259 
-2.3000 -0.1550 0.0775 20000 -0.0254 
-4.9000 -0.1549 0.0841 20000 -0.0368 
-2.2000 -0.1544 0.0774 20000 -0.0249 
-2.1000 -0.1539 0.0772 20000 -0.0244 
-5.0000 -0.1538 0.0845 20000 -0.0371 
-2.0000 -0.1532 0.0770 20000 -0.0239 
-1.9000 -0.1526 0.0769 20000 -0.0234 
-1.8000 -0.1520 0.0767 20000 -0.0228 
-1.7000 -0.1514 0.0766 20000 -0.0223 
-1.6000 -0.1507 0.0764 20000 -0.0217 
-1.5000 -0.1500 0.0763 20000 -0.0212 
-1.4000 -0.1494 0.0761 20000 -0.0207 
-1.3000 -0.1487 0.0760 20000 -0.0201 
-1.2000 -0.1480 0.0758 20000 -0.0195 
-1.1000 -0.1474 0.0757 20000 -0.0190 
-1.0000 -0.1467 0.0755 20000 -0.0184 
-0.9000 -0.1460 0.0754 20000 -0.0178 
-0.8000 -0.1453 0.0752 20000 -0.0173 
-0.7000 -0.1447 0.0751 20000 -0.0167 
-0.6000 -0.1440 0.0749 20000 -0.0161 
-0.5000 -0.1434 0.0748 20000 -0.0155 
-0.4000 -0.1427 0.0746 20000 -0.0149 
-0.3000 -0.1421 0.0745 20000 -0.0143 
-0.2000 -0.1415 0.0744 20000 -0.0137 
-0.1000 -0.1409 0.0742 20000 -0.0131 
0.0000 -0.1403 0.0741 20000 -0.0125 
0.1000 -0.1398 0.0739 20000 -0.0119 
3.1000 -0.1396 0.0667 20000 0.0092 
3.0000 -0.1395 0.0670 20000 0.0085 
3.2000 -0.1393 0.0664 20000 0.0098 
0.2000 -0.1392 0.0737 20000 -0.0113 
2.9000 -0.1392 0.0674 20000 0.0078 
2.8000 -0.1389 0.0677 20000 0.0071 
0.3000 -0.1388 0.0736 20000 -0.0106 
2.7000 -0.1386 0.0680 20000 0.0063 
3.3000 -0.1384 0.0662 20000 0.0103 
0.4000 -0.1383 0.0734 20000 -0.0100 
2.6000 -0.1382 0.0683 20000 0.0056 
0.5000 -0.1378 0.0733 20000 -0.0094 
2.5000 -0.1378 0.0687 20000 0.0048 
0.6000 -0.1374 0.0731 20000 -0.0087 
2.4000 -0.1373 0.0690 20000 0.0041 
0.7000 -0.1370 0.0729 20000 -0.0081 
2.3000 -0.1370 0.0693 20000 0.0033 
0.8000 -0.1367 0.0727 20000 -0.0074 
