fx6617a2,        free transition row= 2084
-5.0000 -0.6186 0.0654 20000 -0.0300 
-4.9000 -0.6118 0.0638 20000 -0.0311 
-4.8000 -0.6048 0.0623 20000 -0.0320 
-4.7000 -0.5969 0.0607 20000 -0.0332 
-4.6000 -0.5915 0.0599 20000 -0.0323 
-4.5000 -0.5865 0.0594 20000 -0.0313 
-4.4000 -0.5788 0.0583 20000 -0.0317 
-4.3000 -0.5696 0.0571 20000 -0.0326 
-4.2000 -0.5655 0.0567 20000 -0.0308 
-4.1000 -0.5584 0.0562 20000 -0.0310 
-4.0000 -0.5524 0.0553 20000 -0.0296 
-3.0000 -0.5481 0.0600 20000 0.0186 
-3.9000 -0.5456 0.0549 20000 -0.0288 
-3.1000 -0.5385 0.0596 20000 0.0055 
-3.8000 -0.5360 0.0539 20000 -0.0296 
-3.6000 -0.5335 0.0550 20000 -0.0216 
-3.7000 -0.5334 0.0542 20000 -0.0269 
-3.5000 -0.5334 0.0561 20000 -0.0169 
-3.2000 -0.5317 0.0586 20000 -0.0034 
-3.3000 -0.5309 0.0579 20000 -0.0081 
-3.4000 -0.5297 0.0564 20000 -0.0145 
0.3000 -0.2077 0.0592 20000 -0.0092 
0.5000 -0.2077 0.0588 20000 -0.0077 
0.4000 -0.2076 0.0589 20000 -0.0084 
0.0000 -0.2075 0.0599 20000 -0.0115 
0.1000 -0.2073 0.0596 20000 -0.0107 
0.2000 -0.2072 0.0594 20000 -0.0099 
0.6000 -0.2072 0.0585 20000 -0.0070 
-0.1000 -0.2069 0.0601 20000 -0.0122 
0.7000 -0.2068 0.0583 20000 -0.0064 
-0.2000 -0.2066 0.0603 20000 -0.0130 
-0.3000 -0.2059 0.0605 20000 -0.0137 
-0.4000 -0.2057 0.0607 20000 -0.0145 
0.8000 -0.2054 0.0582 20000 -0.0058 
-0.5000 -0.2053 0.0610 20000 -0.0153 
-0.7000 -0.2047 0.0613 20000 -0.0168 
-0.6000 -0.2045 0.0612 20000 -0.0160 
-0.8000 -0.2039 0.0616 20000 -0.0175 
0.9000 -0.2039 0.0580 20000 -0.0054 
-0.9000 -0.2034 0.0618 20000 -0.0183 
-1.0000 -0.2028 0.0619 20000 -0.0189 
-1.1000 -0.2023 0.0621 20000 -0.0196 
-1.2000 -0.2020 0.0624 20000 -0.0204 
1.0000 -0.2018 0.0579 20000 -0.0051 
-1.3000 -0.2014 0.0625 20000 -0.0210 
-1.4000 -0.2011 0.0628 20000 -0.0219 
-1.5000 -0.2004 0.0630 20000 -0.0225 
-1.6000 -0.2003 0.0632 20000 -0.0232 
-1.7000 -0.2001 0.0634 20000 -0.0240 
-1.8000 -0.1995 0.0636 20000 -0.0246 
-1.9000 -0.1991 0.0638 20000 -0.0253 
1.1000 -0.1989 0.0579 20000 -0.0049 
-2.0000 -0.1986 0.0640 20000 -0.0259 
1.2000 -0.1955 0.0579 20000 -0.0048 
1.3000 -0.1915 0.0579 20000 -0.0049 
1.4000 -0.1868 0.0580 20000 -0.0050 
1.5000 -0.1819 0.0582 20000 -0.0052 
1.6000 -0.1759 0.0583 20000 -0.0054 
1.7000 -0.1702 0.0585 20000 -0.0057 
1.8000 -0.1641 0.0588 20000 -0.0061 
1.9000 -0.1574 0.0590 20000 -0.0065 
2.0000 -0.1507 0.0594 20000 -0.0070 
2.1000 -0.1439 0.0597 20000 -0.0075 
2.2000 -0.1366 0.0600 20000 -0.0080 
2.3000 -0.1291 0.0604 20000 -0.0086 
2.4000 -0.1215 0.0608 20000 -0.0092 
2.5000 -0.1141 0.0612 20000 -0.0098 
2.6000 -0.1064 0.0616 20000 -0.0104 
2.7000 -0.0983 0.0620 20000 -0.0111 
2.8000 -0.0909 0.0625 20000 -0.0117 
2.9000 -0.0834 0.0630 20000 -0.0124 
3.0000 -0.0755 0.0635 20000 -0.0130 
3.1000 -0.0670 0.0640 20000 -0.0136 
3.2000 -0.0591 0.0645 20000 -0.0144 
3.3000 -0.0513 0.0650 20000 -0.0150 
3.4000 -0.0433 0.0656 20000 -0.0156 
3.5000 -0.0355 0.0661 20000 -0.0162 
3.6000 -0.0271 0.0667 20000 -0.0169 
3.7000 -0.0196 0.0673 20000 -0.0176 
3.8000 -0.0115 0.0678 20000 -0.0182 
3.9000 -0.0042 0.0684 20000 -0.0188 
4.0000 0.0037 0.0691 20000 -0.0193 
4.1000 0.0116 0.0697 20000 -0.0200 
4.2000 0.0190 0.0703 20000 -0.0206 
4.3000 0.0271 0.0709 20000 -0.0212 
4.4000 0.0344 0.0716 20000 -0.0218 
4.5000 0.0428 0.0722 20000 -0.0224 
4.6000 0.0503 0.0728 20000 -0.0229 
4.7000 0.0579 0.0734 20000 -0.0235 
4.8000 0.0656 0.0741 20000 -0.0240 
4.9000 0.0730 0.0747 20000 -0.0245 
5.0000 0.0805 0.0754 20000 -0.0251 
5.1000 0.0879 0.0761 20000 -0.0256 
5.2000 0.0952 0.0768 20000 -0.0262 
5.3000 0.1022 0.0775 20000 -0.0267 
5.4000 0.1093 0.0782 20000 -0.0271 
5.5000 0.1166 0.0789 20000 -0.0277 
5.6000 0.1240 0.0796 20000 -0.0282 
5.7000 0.1307 0.0803 20000 -0.0287 
5.8000 0.1379 0.0810 20000 -0.0292 
5.9000 0.1447 0.0817 20000 -0.0296 
6.0000 0.1519 0.0824 20000 -0.0301 
6.1000 0.1588 0.0832 20000 -0.0306 
6.2000 0.1655 0.0839 20000 -0.0311 
6.3000 0.1725 0.0847 20000 -0.0315 
6.4000 0.1791 0.0854 20000 -0.0320 
6.5000 0.1861 0.0861 20000 -0.0324 
6.6000 0.1925 0.0869 20000 -0.0329 
6.7000 0.1994 0.0877 20000 -0.0333 
6.8000 0.2057 0.0884 20000 -0.0337 
6.9000 0.2124 0.0892 20000 -0.0342 
7.0000 0.2190 0.0900 20000 -0.0346 
7.1000 0.2255 0.0908 20000 -0.0351 
7.2000 0.2320 0.0916 20000 -0.0355 
7.3000 0.2381 0.0924 20000 -0.0360 
7.4000 0.2449 0.0931 20000 -0.0363 
7.5000 0.2511 0.0940 20000 -0.0368 
7.6000 0.2576 0.0947 20000 -0.0372 
7.7000 0.2638 0.0956 20000 -0.0376 
7.8000 0.2699 0.0964 20000 -0.0380 
7.9000 0.2759 0.0972 20000 -0.0385 
8.0000 0.2820 0.0981 20000 -0.0389 
8.1000 0.2882 0.0989 20000 -0.0393 
8.2000 0.2940 0.0997 20000 -0.0398 
8.3000 0.2999 0.1006 20000 -0.0402 
8.4000 0.3060 0.1014 20000 -0.0406 
8.5000 0.3122 0.1023 20000 -0.0410 
8.6000 0.3180 0.1031 20000 -0.0415 
8.7000 0.3235 0.1040 20000 -0.0419 
8.8000 0.3296 0.1049 20000 -0.0423 
8.9000 0.3351 0.1058 20000 -0.0428 
9.0000 0.3410 0.1066 20000 -0.0432 
9.1000 0.3469 0.1075 20000 -0.0436 
9.2000 0.3525 0.1084 20000 -0.0440 
9.3000 0.3580 0.1093 20000 -0.0445 
9.4000 0.3636 0.1102 20000 -0.0449 
9.5000 0.3693 0.1111 20000 -0.0454 
