NACA65-012,        free transition row= 2077
-5.0000 -0.0612 0.0426 20000 -0.0443 
-4.9000 -0.0583 0.0424 20000 -0.0438 
-4.8000 -0.0555 0.0421 20000 -0.0433 
-4.7000 -0.0527 0.0419 20000 -0.0428 
-4.6000 -0.0500 0.0417 20000 -0.0422 
-4.5000 -0.0472 0.0415 20000 -0.0417 
-4.4000 -0.0446 0.0413 20000 -0.0411 
-4.3000 -0.0421 0.0411 20000 -0.0405 
-4.2000 -0.0396 0.0410 20000 -0.0398 
-4.1000 -0.0372 0.0408 20000 -0.0392 
-4.0000 -0.0349 0.0407 20000 -0.0385 
-3.9000 -0.0327 0.0406 20000 -0.0378 
-3.8000 -0.0306 0.0404 20000 -0.0370 
-3.7000 -0.0286 0.0403 20000 -0.0363 
-3.6000 -0.0268 0.0402 20000 -0.0355 
-3.5000 -0.0251 0.0402 20000 -0.0347 
-3.4000 -0.0234 0.0401 20000 -0.0338 
-3.3000 -0.0219 0.0400 20000 -0.0329 
-3.2000 -0.0206 0.0400 20000 -0.0321 
-3.1000 -0.0193 0.0399 20000 -0.0312 
-3.0000 -0.0181 0.0399 20000 -0.0302 
-2.9000 -0.0170 0.0398 20000 -0.0293 
-2.8000 -0.0160 0.0398 20000 -0.0283 
-2.7000 -0.0151 0.0398 20000 -0.0274 
-2.6000 -0.0143 0.0398 20000 -0.0264 
-2.5000 -0.0135 0.0398 20000 -0.0254 
-2.4000 -0.0128 0.0398 20000 -0.0244 
-2.3000 -0.0121 0.0397 20000 -0.0234 
-2.2000 -0.0115 0.0397 20000 -0.0224 
-2.1000 -0.0109 0.0397 20000 -0.0214 
-2.0000 -0.0103 0.0397 20000 -0.0203 
-1.9000 -0.0097 0.0398 20000 -0.0193 
-1.8000 -0.0092 0.0398 20000 -0.0183 
-1.7000 -0.0087 0.0398 20000 -0.0173 
-1.6000 -0.0082 0.0398 20000 -0.0163 
-1.5000 -0.0076 0.0398 20000 -0.0152 
-1.4000 -0.0071 0.0398 20000 -0.0142 
-1.3000 -0.0066 0.0398 20000 -0.0132 
-1.2000 -0.0061 0.0398 20000 -0.0122 
-1.1000 -0.0056 0.0398 20000 -0.0111 
-1.0000 -0.0051 0.0398 20000 -0.0101 
-0.9000 -0.0046 0.0398 20000 -0.0091 
-0.8000 -0.0041 0.0398 20000 -0.0081 
-0.7000 -0.0036 0.0398 20000 -0.0071 
-0.6000 -0.0031 0.0398 20000 -0.0061 
-0.5000 -0.0026 0.0398 20000 -0.0051 
-0.4000 -0.0021 0.0398 20000 -0.0040 
-0.3000 -0.0016 0.0398 20000 -0.0030 
-0.2000 -0.0011 0.0398 20000 -0.0020 
-0.1000 -0.0005 0.0398 20000 -0.0010 
0.0000 -0.0000 0.0398 20000 -0.0000 
0.1000 0.0005 0.0398 20000 0.0010 
0.2000 0.0010 0.0398 20000 0.0020 
0.3000 0.0016 0.0398 20000 0.0030 
0.4000 0.0021 0.0398 20000 0.0040 
0.5000 0.0026 0.0398 20000 0.0051 
0.6000 0.0031 0.0398 20000 0.0061 
0.7000 0.0036 0.0398 20000 0.0071 
0.8000 0.0041 0.0398 20000 0.0081 
0.9000 0.0046 0.0398 20000 0.0091 
1.0000 0.0051 0.0398 20000 0.0101 
1.1000 0.0056 0.0398 20000 0.0112 
1.2000 0.0061 0.0398 20000 0.0122 
1.3000 0.0066 0.0398 20000 0.0132 
1.4000 0.0071 0.0397 20000 0.0142 
1.5000 0.0076 0.0397 20000 0.0152 
1.6000 0.0081 0.0397 20000 0.0163 
1.7000 0.0086 0.0397 20000 0.0173 
1.8000 0.0092 0.0397 20000 0.0183 
1.9000 0.0097 0.0397 20000 0.0193 
2.0000 0.0103 0.0397 20000 0.0203 
2.1000 0.0108 0.0397 20000 0.0214 
2.2000 0.0114 0.0397 20000 0.0224 
2.3000 0.0121 0.0397 20000 0.0234 
2.4000 0.0127 0.0397 20000 0.0244 
2.5000 0.0135 0.0397 20000 0.0254 
2.6000 0.0143 0.0397 20000 0.0264 
2.7000 0.0151 0.0397 20000 0.0274 
2.8000 0.0160 0.0398 20000 0.0284 
2.9000 0.0170 0.0398 20000 0.0293 
3.0000 0.0181 0.0398 20000 0.0303 
3.1000 0.0193 0.0398 20000 0.0312 
3.2000 0.0206 0.0399 20000 0.0321 
3.3000 0.0220 0.0399 20000 0.0330 
3.4000 0.0235 0.0400 20000 0.0338 
3.5000 0.0251 0.0401 20000 0.0347 
3.6000 0.0268 0.0402 20000 0.0355 
3.7000 0.0287 0.0403 20000 0.0363 
3.8000 0.0307 0.0404 20000 0.0370 
3.9000 0.0328 0.0405 20000 0.0378 
4.0000 0.0350 0.0406 20000 0.0385 
4.1000 0.0373 0.0407 20000 0.0392 
4.2000 0.0397 0.0409 20000 0.0398 
4.3000 0.0422 0.0411 20000 0.0405 
4.4000 0.0448 0.0412 20000 0.0411 
4.5000 0.0475 0.0414 20000 0.0417 
4.6000 0.0502 0.0416 20000 0.0422 
4.7000 0.0530 0.0418 20000 0.0428 
4.8000 0.0558 0.0420 20000 0.0433 
4.9000 0.0586 0.0423 20000 0.0438 
5.0000 0.0615 0.0425 20000 0.0443 
5.1000 0.0644 0.0428 20000 0.0448 
5.2000 0.0673 0.0430 20000 0.0452 
5.3000 0.0703 0.0433 20000 0.0456 
5.4000 0.0732 0.0436 20000 0.0460 
5.5000 0.0762 0.0440 20000 0.0464 
5.6000 0.0791 0.0443 20000 0.0468 
5.7000 0.0821 0.0446 20000 0.0471 
5.8000 0.0850 0.0450 20000 0.0474 
5.9000 0.0880 0.0454 20000 0.0477 
6.0000 0.0909 0.0458 20000 0.0479 
6.1000 0.0937 0.0462 20000 0.0482 
6.2000 0.0966 0.0466 20000 0.0484 
6.3000 0.0993 0.0471 20000 0.0485 
6.4000 0.1021 0.0475 20000 0.0487 
6.5000 0.1047 0.0480 20000 0.0488 
6.6000 0.1073 0.0485 20000 0.0489 
6.7000 0.1098 0.0491 20000 0.0490 
6.8000 0.1122 0.0496 20000 0.0490 
6.9000 0.1145 0.0502 20000 0.0490 
7.0000 0.1167 0.0508 20000 0.0490 
7.1000 0.1187 0.0515 20000 0.0489 
7.2000 0.1206 0.0522 20000 0.0488 
7.3000 0.1223 0.0529 20000 0.0487 
7.4000 0.1238 0.0536 20000 0.0485 
7.5000 0.1251 0.0544 20000 0.0483 
7.6000 0.1261 0.0553 20000 0.0480 
7.7000 0.1269 0.0562 20000 0.0476 
7.8000 0.1274 0.0571 20000 0.0472 
8.0000 0.1274 0.0593 20000 0.0461 
7.9000 0.1275 0.0582 20000 0.0467 
11.2000 0.3381 0.1224 20000 0.0049 
11.3000 0.3382 0.1237 20000 0.0046 
11.1000 0.3407 0.1216 20000 0.0050 
11.4000 0.3407 0.1255 20000 0.0040 
11.5000 0.3462 0.1283 20000 0.0031 
11.0000 0.3474 0.1218 20000 0.0046 
11.6000 0.3520 0.1309 20000 0.0023 
12.0000 0.3538 0.1334 20000 0.0023 
11.9000 0.3539 0.1331 20000 0.0022 
11.7000 0.3543 0.1323 20000 0.0020 
11.8000 0.3544 0.1328 20000 0.0020 
12.1000 0.3547 0.1339 20000 0.0023 
12.2000 0.3567 0.1347 20000 0.0022 
10.9000 0.3602 0.1236 20000 0.0036 
12.9000 0.3854 0.1464 20000 0.0003 
13.0000 0.3864 0.1468 20000 0.0003 
12.8000 0.3875 0.1471 20000 -0.0000 
13.1000 0.3891 0.1477 20000 0.0002 
13.2000 0.3929 0.1490 20000 -0.0001 
12.7000 0.3940 0.1493 20000 -0.0008 
13.3000 0.3979 0.1506 20000 -0.0005 
12.6000 0.4011 0.1517 20000 -0.0017 
13.4000 0.4043 0.1527 20000 -0.0010 
12.5000 0.4070 0.1534 20000 -0.0024 
12.4000 0.4117 0.1547 20000 -0.0029 
13.5000 0.4125 0.1555 20000 -0.0016 
13.6000 0.4230 0.1592 20000 -0.0025 
14.3000 0.4305 0.1639 20000 -0.0034 
14.2000 0.4312 0.1644 20000 -0.0035 
14.4000 0.4333 0.1646 20000 -0.0035 
10.5000 0.4361 0.1143 20000 0.0177 
13.7000 0.4363 0.1646 20000 -0.0037 
14.1000 0.4370 0.1671 20000 -0.0041 
10.6000 0.4384 0.1163 20000 0.0172 
14.5000 0.4385 0.1661 20000 -0.0038 
10.7000 0.4439 0.1186 20000 0.0168 
14.0000 0.4464 0.1711 20000 -0.0050 
14.6000 0.4468 0.1687 20000 -0.0043 
13.8000 0.4558 0.1740 20000 -0.0058 
13.9000 0.4563 0.1752 20000 -0.0059 
14.7000 0.4599 0.1733 20000 -0.0051 
10.8000 0.4610 0.1227 20000 0.0161 
9.8000 0.4692 0.1022 20000 0.0241 
