NACA63012A,        free transition row= 2112
-4.9000 -0.1617 0.0425 20000 -0.0219 
-4.8000 -0.1564 0.0420 20000 -0.0222 
-4.7000 -0.1511 0.0414 20000 -0.0223 
-4.6000 -0.1457 0.0409 20000 -0.0225 
-4.5000 -0.1402 0.0404 20000 -0.0227 
-4.4000 -0.1347 0.0400 20000 -0.0228 
-4.3000 -0.1292 0.0395 20000 -0.0230 
-4.2000 -0.1237 0.0391 20000 -0.0231 
-4.1000 -0.1181 0.0386 20000 -0.0232 
-4.0000 -0.1125 0.0382 20000 -0.0233 
-3.9000 -0.1069 0.0378 20000 -0.0233 
-3.8000 -0.1012 0.0374 20000 -0.0234 
-3.7000 -0.0956 0.0370 20000 -0.0234 
-3.6000 -0.0900 0.0367 20000 -0.0235 
-3.5000 -0.0844 0.0363 20000 -0.0235 
-3.4000 -0.0787 0.0360 20000 -0.0235 
-3.3000 -0.0731 0.0356 20000 -0.0234 
-3.2000 -0.0676 0.0353 20000 -0.0234 
-3.1000 -0.0621 0.0350 20000 -0.0233 
-3.0000 -0.0566 0.0347 20000 -0.0232 
-2.9000 -0.0512 0.0344 20000 -0.0231 
-2.8000 -0.0459 0.0342 20000 -0.0230 
-2.7000 -0.0406 0.0339 20000 -0.0228 
-2.6000 -0.0355 0.0336 20000 -0.0226 
-2.5000 -0.0305 0.0334 20000 -0.0224 
-2.4000 -0.0255 0.0332 20000 -0.0221 
-2.3000 -0.0208 0.0330 20000 -0.0219 
-2.2000 -0.0162 0.0328 20000 -0.0216 
1.0000 -0.0156 0.0312 20000 0.0135 
0.9000 -0.0155 0.0311 20000 0.0124 
1.1000 -0.0152 0.0312 20000 0.0146 
0.8000 -0.0150 0.0311 20000 0.0112 
1.2000 -0.0144 0.0313 20000 0.0156 
0.7000 -0.0142 0.0310 20000 0.0100 
1.3000 -0.0131 0.0314 20000 0.0165 
0.6000 -0.0129 0.0310 20000 0.0086 
-2.1000 -0.0117 0.0326 20000 -0.0212 
0.5000 -0.0113 0.0310 20000 0.0073 
1.4000 -0.0113 0.0315 20000 0.0173 
0.4000 -0.0094 0.0310 20000 0.0059 
1.5000 -0.0091 0.0316 20000 0.0180 
-2.0000 -0.0075 0.0324 20000 -0.0208 
0.3000 -0.0072 0.0310 20000 0.0044 
1.6000 -0.0064 0.0317 20000 0.0187 
0.2000 -0.0049 0.0310 20000 0.0030 
-1.9000 -0.0036 0.0322 20000 -0.0204 
1.7000 -0.0034 0.0319 20000 0.0193 
0.1000 -0.0025 0.0309 20000 0.0015 
0.0000 -0.0000 0.0309 20000 0.0000 
-1.8000 0.0001 0.0320 20000 -0.0199 
1.8000 0.0001 0.0320 20000 0.0198 
-0.1000 0.0025 0.0309 20000 -0.0015 
-1.7000 0.0035 0.0319 20000 -0.0193 
1.9000 0.0038 0.0322 20000 0.0203 
-0.2000 0.0049 0.0310 20000 -0.0030 
-1.6000 0.0065 0.0318 20000 -0.0187 
-0.3000 0.0072 0.0310 20000 -0.0044 
2.0000 0.0078 0.0323 20000 0.0208 
-1.5000 0.0092 0.0316 20000 -0.0180 
-0.4000 0.0094 0.0310 20000 -0.0059 
-0.5000 0.0113 0.0310 20000 -0.0073 
-1.4000 0.0114 0.0315 20000 -0.0173 
2.1000 0.0120 0.0325 20000 0.0212 
-0.6000 0.0129 0.0310 20000 -0.0086 
-1.3000 0.0132 0.0314 20000 -0.0165 
-0.7000 0.0142 0.0310 20000 -0.0100 
-1.2000 0.0145 0.0313 20000 -0.0156 
-0.8000 0.0150 0.0311 20000 -0.0112 
-1.1000 0.0153 0.0312 20000 -0.0146 
-0.9000 0.0155 0.0311 20000 -0.0124 
-1.0000 0.0156 0.0312 20000 -0.0135 
2.2000 0.0165 0.0327 20000 0.0215 
2.3000 0.0211 0.0329 20000 0.0218 
2.4000 0.0259 0.0331 20000 0.0221 
2.5000 0.0309 0.0334 20000 0.0223 
2.6000 0.0359 0.0336 20000 0.0226 
2.7000 0.0411 0.0339 20000 0.0227 
2.8000 0.0464 0.0341 20000 0.0229 
2.9000 0.0518 0.0344 20000 0.0230 
3.0000 0.0572 0.0347 20000 0.0231 
3.1000 0.0627 0.0350 20000 0.0232 
3.2000 0.0683 0.0353 20000 0.0233 
3.3000 0.0739 0.0356 20000 0.0233 
3.4000 0.0795 0.0359 20000 0.0233 
3.5000 0.0852 0.0363 20000 0.0234 
3.6000 0.0908 0.0366 20000 0.0233 
3.7000 0.0965 0.0370 20000 0.0233 
3.8000 0.1022 0.0374 20000 0.0233 
3.9000 0.1078 0.0377 20000 0.0232 
4.0000 0.1135 0.0382 20000 0.0231 
4.1000 0.1192 0.0386 20000 0.0230 
4.2000 0.1248 0.0390 20000 0.0229 
4.3000 0.1304 0.0394 20000 0.0228 
4.4000 0.1360 0.0399 20000 0.0227 
4.5000 0.1415 0.0404 20000 0.0225 
4.6000 0.1470 0.0409 20000 0.0223 
4.7000 0.1525 0.0414 20000 0.0221 
4.8000 0.1579 0.0419 20000 0.0219 
4.9000 0.1632 0.0424 20000 0.0217 
5.0000 0.1685 0.0430 20000 0.0215 
5.1000 0.1737 0.0436 20000 0.0212 
5.2000 0.1788 0.0442 20000 0.0209 
5.3000 0.1839 0.0448 20000 0.0206 
5.4000 0.1888 0.0454 20000 0.0203 
5.5000 0.1937 0.0461 20000 0.0200 
5.6000 0.1984 0.0468 20000 0.0196 
5.7000 0.2031 0.0475 20000 0.0193 
5.8000 0.2076 0.0482 20000 0.0189 
5.9000 0.2119 0.0490 20000 0.0184 
6.0000 0.2162 0.0498 20000 0.0180 
6.1000 0.2202 0.0506 20000 0.0175 
6.2000 0.2241 0.0514 20000 0.0170 
6.3000 0.2279 0.0523 20000 0.0165 
6.4000 0.2314 0.0533 20000 0.0159 
6.5000 0.2347 0.0542 20000 0.0153 
6.6000 0.2378 0.0552 20000 0.0147 
10.6000 0.4846 0.1351 20000 -0.0350 
